index,n,initialh,no_boot,starttransmission,isdescent,time,speed,latitude,longitude,altitude,satellites,voltage,eulerX,eulerY,eulerZ,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,temperature,magX,magY,magZ,linearAccelX,linearAccelY,linearAccelZ,gravityX,gravityY,gravityZ,altitude_difference,bmp_temperature,bmp_pressure
37500,2893,70.42,26,1,0,1245000,0.05,23.1142464,72.4985733,59.06,10010,6.53,79.88,-2.31,2.19,79.88,-2.31,2.19,-5.56,-7.12,2.81,36.0,-36.75,-2.69,-26.56,0.16,0.42,-1.95,-0.39,-0.38,9.79,-1.17,38.5,1004.96
37501,2893,70.42,26,1,0,1245000,0.05,23.1142464,72.4985733,59.06,10010,6.53,79.88,-2.12,2.19,79.88,-2.12,2.19,1.12,-3.75,0.94,36.0,-36.75,-4.19,-26.56,-0.51,-0.02,0.01,-0.36,-0.38,9.79,-1.28,38.5,1004.97
37502,2893,70.42,26,1,0,1245000,0.05,23.1142464,72.4985733,59.06,10010,6.53,79.88,-2.31,2.12,79.88,-2.31,2.12,2.94,7.25,-2.69,36.0,-36.75,-4.19,-26.56,1.19,0.49,1.87,-0.39,-0.37,9.79,-1.24,38.51,1004.97
37503,2893,70.42,26,1,0,1245000,0.05,23.1142464,72.4985733,59.06,10010,6.53,79.88,-2.12,2.19,79.88,-2.12,2.19,0.0,-5.44,-3.38,36.0,-36.75,-3.75,-26.19,-0.41,-0.38,0.47,-0.37,-0.38,9.79,-1.18,38.51,1004.96
37504,2893,70.42,26,1,0,1245000,0.05,23.1142464,72.4985733,59.06,10010,6.59,79.81,-2.19,2.19,79.81,-2.19,2.19,2.25,6.81,2.38,36.0,-36.38,-4.19,-27.06,-0.12,-0.15,-2.21,-0.37,-0.38,9.79,-1.24,38.51,1004.97
37505,2894,70.42,26,1,0,1245100,0.04,23.1142464,72.4985733,59.05,10010,6.57,79.88,-2.19,2.19,79.88,-2.19,2.19,-1.69,-4.19,1.31,36.0,-36.38,-3.75,-26.19,-0.76,0.61,-0.77,-0.37,-0.38,9.79,-1.18,38.49,1004.96
37506,2894,70.42,26,1,0,1245100,0.04,23.1142464,72.4985733,59.05,10010,6.55,79.81,-2.19,2.25,79.81,-2.19,2.25,4.38,7.25,-7.06,36.0,-36.75,-5.0,-26.56,0.18,-1.09,1.28,-0.39,-0.37,9.79,-1.23,38.48,1004.97
37507,2894,70.42,26,1,0,1245100,0.04,23.1142464,72.4985733,59.05,10010,6.55,79.81,-2.25,2.19,79.81,-2.25,2.19,-2.06,-2.69,-2.69,36.0,-36.0,-3.75,-26.19,0.42,-0.22,0.32,-0.38,-0.37,9.79,-1.26,38.48,1004.97
37508,2894,70.42,26,1,0,1245100,0.04,23.1142464,72.4985733,59.05,10010,6.55,79.81,-2.12,2.19,79.81,-2.12,2.19,1.81,-3.88,2.19,36.0,-36.0,-3.75,-26.19,-0.88,0.49,-0.94,-0.36,-0.38,9.79,-1.2,38.48,1004.96
37509,2894,70.42,26,1,0,1245100,0.04,23.1142464,72.4985733,59.05,10010,6.55,79.81,-2.25,2.19,79.81,-2.25,2.19,-0.94,5.12,-1.31,36.0,-35.69,-2.69,-26.19,0.23,0.02,-0.64,-0.38,-0.38,9.79,-1.17,38.48,1004.96
37510,2894,70.42,26,1,0,1245100,0.04,23.1142464,72.4985733,59.05,10010,6.57,79.88,-2.25,2.25,79.88,-2.25,2.25,0.62,-2.31,-1.94,36.0,-36.0,-4.19,-27.88,0.23,-0.96,-0.95,-0.39,-0.38,9.79,-1.08,38.49,1004.95
37511,2894,70.42,26,1,0,1245100,0.04,23.1142464,72.4985733,59.05,10010,6.55,79.81,-2.12,2.12,79.81,-2.12,2.12,1.75,-2.0,1.75,36.0,-35.88,-3.5,-26.19,-0.5,0.06,1.32,-0.36,-0.36,9.79,-1.14,38.49,1004.96
37512,2894,70.42,26,1,0,1245100,0.04,23.1142464,72.4985733,59.05,10010,6.55,79.81,-2.19,2.25,79.81,-2.19,2.25,-6.38,2.56,0.62,36.0,-36.25,-4.56,-25.75,0.27,0.01,1.35,-0.38,-0.38,9.79,-1.08,38.5,1004.95
37513,2894,70.42,26,1,0,1245100,0.04,23.1142464,72.4985733,59.05,10010,6.55,79.81,-2.25,2.25,79.81,-2.25,2.25,-2.31,-0.75,2.56,36.0,-36.25,-4.56,-25.75,0.62,0.05,-0.42,-0.38,-0.39,9.79,-1.01,38.5,1004.94
37514,2894,70.42,26,1,0,1245100,0.04,23.1142464,72.4985733,59.05,10010,6.55,79.81,-2.19,2.12,79.81,-2.19,2.12,0.69,-1.0,4.62,36.0,-36.56,-3.75,-27.0,0.46,0.53,-0.21,-0.38,-0.37,9.79,-1.02,38.51,1004.94
37515,2894,70.42,26,1,0,1245100,0.04,23.1142464,72.4985733,59.05,10010,6.57,79.81,-2.12,2.19,79.81,-2.12,2.19,-2.94,-1.62,-1.06,36.0,-36.25,-4.19,-27.0,-0.74,-0.09,0.51,-0.36,-0.38,9.79,-1.05,38.51,1004.94
37516,2894,70.42,26,1,0,1245100,0.04,23.1142464,72.4985733,59.05,10010,6.57,79.81,-2.19,2.31,79.81,-2.19,2.31,-1.56,3.56,0.12,36.0,-36.69,-3.06,-26.19,-0.3,-0.27,-0.9,-0.38,-0.39,9.79,-1.09,38.52,1004.95
37517,2894,70.42,26,1,0,1245100,0.04,23.1142464,72.4985733,59.05,10010,6.55,79.81,-2.31,2.19,79.81,-2.31,2.19,2.0,0.12,1.94,36.0,-36.69,-3.06,-26.19,1.3,0.12,0.08,-0.39,-0.37,9.79,-1.01,38.51,1004.94
37518,2895,70.42,26,1,0,1245200,0.03,23.1142464,72.4985733,59.03,10010,6.55,79.81,-2.12,2.31,79.81,-2.12,2.31,-1.25,-1.44,-1.0,36.0,-37.06,-4.56,-27.06,-0.42,0.03,-0.78,-0.37,-0.4,9.79,-0.88,38.48,1004.92
37519,2895,70.42,26,1,0,1245200,0.03,23.1142464,72.4985733,59.03,10010,6.57,79.81,-2.19,2.19,79.81,-2.19,2.19,4.62,2.06,0.06,36.0,-36.38,-4.56,-25.88,-0.03,-0.24,-0.2,-0.38,-0.38,9.79,-0.89,38.47,1004.93
37520,2895,70.42,26,1,0,1245200,0.03,23.1142464,72.4985733,59.03,10010,6.57,79.81,-2.19,2.12,79.81,-2.19,2.12,0.69,-1.62,0.88,36.0,-37.06,-3.75,-27.5,0.48,-0.08,0.07,-0.38,-0.36,9.79,-0.88,38.47,1004.93
37521,2895,70.42,26,1,0,1245200,0.03,23.1142464,72.4985733,59.03,10010,6.57,79.81,-2.12,2.19,79.81,-2.12,2.19,-3.81,-1.31,0.25,36.0,-37.06,-4.19,-27.06,-0.56,0.36,-0.1,-0.36,-0.39,9.79,-0.85,38.47,1004.92
37522,2895,70.42,26,1,0,1245200,0.03,23.1142464,72.4985733,59.03,10010,6.55,79.81,-2.19,2.31,79.81,-2.19,2.31,-0.88,3.12,-0.31,36.0,-36.0,-3.5,-25.5,0.1,0.14,-0.74,-0.38,-0.39,9.79,-0.79,38.47,1004.91
37523,2895,70.42,26,1,0,1245200,0.03,23.1142464,72.4985733,59.03,10010,6.55,79.81,-2.25,2.25,79.81,-2.25,2.25,3.31,-1.25,-0.75,36.0,-36.0,-3.5,-25.5,0.58,-0.11,-0.67,-0.38,-0.38,9.79,-0.78,38.48,1004.91
37524,2895,70.42,26,1,0,1245200,0.03,23.1142464,72.4985733,59.03,10010,6.5,79.81,-2.12,2.12,79.81,-2.12,2.12,0.81,-3.25,0.25,36.0,-36.38,-5.0,-27.06,-0.19,-0.19,0.12,-0.36,-0.37,9.79,-0.7,38.48,1004.9
37525,2895,70.42,26,1,0,1245200,0.03,23.1142464,72.4985733,59.03,10010,6.57,79.81,-2.12,2.12,79.81,-2.12,2.12,-1.56,2.5,0.56,36.0,-36.38,-5.0,-25.88,-0.67,-0.1,0.12,-0.36,-0.37,9.79,-0.66,38.48,1004.9
37526,2895,70.42,26,1,0,1245200,0.03,23.1142464,72.4985733,59.03,10010,6.57,79.75,-2.25,2.19,79.75,-2.25,2.19,-2.5,1.94,0.0,36.0,-36.0,-4.56,-28.0,0.52,0.05,-0.78,-0.38,-0.38,9.79,-0.62,38.49,1004.89
37527,2895,70.42,26,1,0,1245200,0.03,23.1142464,72.4985733,59.03,10010,6.55,79.75,-2.19,2.25,79.75,-2.19,2.25,-0.5,-3.31,-0.12,36.0,-36.0,-4.56,-28.0,0.07,0.31,-0.11,-0.37,-0.39,9.79,-0.65,38.5,1004.9
37528,2895,70.42,26,1,0,1245200,0.03,23.1142464,72.4985733,59.03,10010,6.55,79.75,-2.12,2.25,79.75,-2.12,2.25,2.81,2.06,-0.69,36.0,-36.69,-4.56,-26.56,-0.6,-0.09,-0.29,-0.36,-0.38,9.79,-0.6,38.5,1004.89
37529,2895,70.42,26,1,0,1245200,0.03,23.1142464,72.4985733,59.03,10010,6.57,79.81,-2.19,2.12,79.81,-2.19,2.12,0.62,1.5,-0.19,36.0,-36.69,-4.19,-29.06,0.51,-0.35,0.04,-0.38,-0.36,9.79,-0.53,38.5,1004.88
37530,2895,70.42,26,1,0,1245200,0.03,23.1142464,72.4985733,59.03,10010,6.53,79.75,-2.19,2.12,79.75,-2.19,2.12,-2.12,-1.81,0.62,36.0,-37.06,-5.25,-25.75,0.04,0.08,-0.23,-0.37,-0.37,9.79,-0.55,38.51,1004.89
37531,2896,70.42,26,1,0,1245200,0.03,23.1142464,72.4985733,59.03,10010,6.53,79.75,-2.12,2.19,79.75,-2.12,2.19,1.0,-0.56,-0.06,36.0,-36.25,-4.56,-27.38,-0.3,-0.08,-0.02,-0.37,-0.38,9.79,-0.61,38.49,1004.89
37532,2896,70.42,26,1,0,1245200,0.03,23.1142464,72.4985733,59.03,10010,6.53,79.75,-2.19,2.19,79.75,-2.19,2.19,-0.25,1.38,0.12,36.0,-36.25,-4.19,-25.75,0.19,-0.08,-0.17,-0.38,-0.38,9.79,-0.8,38.48,1004.92
37533,2896,70.42,26,1,0,1245300,0.03,23.1142464,72.4985733,59.02,10010,6.53,79.75,-2.19,2.25,79.75,-2.19,2.25,-1.25,-1.19,0.19,36.0,-36.25,-3.75,-26.56,0.12,0.07,-0.29,-0.37,-0.38,9.79,-0.83,38.48,1004.92
37534,2896,70.42,26,1,0,1245300,0.03,23.1142464,72.4985733,59.02,10010,6.53,79.75,-2.12,2.25,79.75,-2.12,2.25,0.12,-0.94,0.25,36.0,-36.25,-3.75,-26.56,-0.4,0.24,-0.2,-0.36,-0.38,9.79,-0.92,38.49,1004.93
37535,2896,70.42,26,1,0,1245300,0.03,23.1142464,72.4985733,59.02,10010,6.57,79.75,-2.12,2.25,79.75,-2.12,2.25,1.06,0.75,-0.19,36.0,-37.0,-4.56,-27.38,-0.13,0.06,-0.21,-0.37,-0.38,9.79,-0.96,38.49,1004.93
37536,2896,70.42,26,1,0,1245300,0.03,23.1142464,72.4985733,59.02,10010,6.57,79.75,-2.12,2.19,79.75,-2.12,2.19,0.69,0.5,-0.12,36.0,-36.56,-4.19,-27.0,0.03,-0.08,-0.18,-0.37,-0.37,9.79,-0.96,38.5,1004.93
37537,2896,70.42,26,1,0,1245300,0.03,23.1142464,72.4985733,59.02,10010,6.53,79.75,-2.12,2.19,79.75,-2.12,2.19,-0.62,0.38,0.0,36.0,-36.56,-4.56,-26.56,-0.02,-0.08,-0.19,-0.37,-0.38,9.79,-0.92,38.5,1004.93
37538,2896,70.42,26,1,0,1245300,0.03,23.1142464,72.4985733,59.02,10010,6.57,79.75,-2.12,2.25,79.75,-2.12,2.25,-1.12,0.56,0.0,36.0,-37.0,-4.19,-26.56,0.01,0.01,-0.23,-0.37,-0.38,9.79,-0.92,38.51,1004.93
37539,2896,70.42,26,1,0,1245300,0.03,23.1142464,72.4985733,59.02,10010,6.55,79.75,-2.12,2.25,79.75,-2.12,2.25,-0.19,0.31,0.19,36.0,-37.0,-4.19,-26.56,0.18,0.09,-0.32,-0.37,-0.39,9.79,-0.84,38.51,1004.92
37540,2896,70.42,26,1,0,1245300,0.03,23.1142464,72.4985733,59.02,10010,6.55,79.75,-2.12,2.25,79.75,-2.12,2.25,0.44,-1.19,0.25,36.0,-36.56,-4.56,-27.88,0.03,0.05,-0.17,-0.36,-0.38,9.79,-0.93,38.52,1004.93
37541,2896,70.42,26,1,0,1245300,0.03,23.1142464,72.4985733,59.02,10010,6.57,79.75,-2.06,2.25,79.75,-2.06,2.25,0.56,-0.38,0.19,36.0,-36.56,-4.56,-26.56,-0.24,0.0,-0.08,-0.36,-0.38,9.79,-0.99,38.52,1004.94
37542,2896,70.42,26,1,0,1245300,0.03,23.1142464,72.4985733,59.02,10010,6.57,79.75,-2.06,2.25,79.75,-2.06,2.25,0.06,0.0,0.31,36.0,-36.56,-5.0,-26.56,-0.11,0.01,-0.29,-0.36,-0.38,9.79,-1.06,38.53,1004.95
37543,2896,70.42,26,1,0,1245300,0.03,23.1142464,72.4985733,59.02,10010,6.55,79.75,-2.12,2.25,79.75,-2.12,2.25,-0.31,-0.19,0.19,36.0,-36.56,-5.0,-26.56,-0.15,0.05,-0.15,-0.36,-0.38,9.79,-0.99,38.53,1004.94
37544,2897,70.42,26,1,0,1245300,0.03,23.1142464,72.4985733,59.02,10010,6.55,79.75,-2.19,2.19,79.75,-2.19,2.19,-0.69,0.5,-0.19,36.0,-36.56,-4.19,-27.88,0.03,-0.01,-0.14,-0.37,-0.38,9.79,-0.96,38.51,1004.93
37545,2897,70.42,26,1,0,1245300,0.03,23.1142464,72.4985733,59.02,10010,6.55,79.75,-2.19,2.19,79.75,-2.19,2.19,-0.31,0.31,-0.31,36.0,-36.56,-4.19,-27.88,0.12,0.04,-0.35,-0.37,-0.38,9.79,-0.92,38.5,1004.93
37546,2897,70.42,26,1,0,1245300,0.03,23.1142464,72.4985733,59.02,10010,6.55,79.75,-2.19,2.19,79.75,-2.19,2.19,0.19,-0.69,-0.25,36.0,-35.56,-4.56,-27.38,0.05,0.0,-0.17,-0.37,-0.38,9.79,-0.92,38.5,1004.93
37547,2897,70.42,26,1,0,1245400,0.02,23.1142464,72.4985733,59.02,10010,6.55,79.75,-2.12,2.19,79.75,-2.12,2.19,0.38,-0.5,-0.12,36.0,-36.25,-5.0,-27.38,-0.15,0.0,-0.18,-0.37,-0.38,9.79,-0.96,38.5,1004.93
37548,2897,70.42,26,1,0,1245400,0.02,23.1142464,72.4985733,59.0,10010,6.57,79.75,-2.19,2.19,79.75,-2.19,2.19,-0.06,0.0,-0.06,36.0,-36.25,-4.19,-26.56,-0.12,-0.04,-0.18,-0.37,-0.38,9.79,-0.98,38.5,1004.94
37549,2897,70.42,26,1,0,1245400,0.02,23.1142464,72.4985733,59.0,10010,6.55,79.75,-2.19,2.19,79.75,-2.19,2.19,-0.06,0.19,0.25,36.0,-36.25,-4.19,-26.56,-0.07,0.0,-0.26,-0.37,-0.38,9.79,-1.02,38.51,1004.94
37550,2897,70.42,26,1,0,1245400,0.02,23.1142464,72.4985733,59.0,10010,6.55,79.75,-2.19,2.19,79.75,-2.19,2.19,0.19,-0.06,0.31,36.0,-36.56,-4.56,-27.0,-0.09,0.02,-0.24,-0.37,-0.38,9.79,-1.03,38.51,1004.94
37551,2897,70.42,26,1,0,1245400,0.02,23.1142464,72.4985733,59.0,10010,6.57,79.75,-2.19,2.19,79.75,-2.19,2.19,0.31,0.12,0.31,36.0,-35.88,-3.75,-25.75,-0.02,0.03,-0.22,-0.37,-0.38,9.79,-0.96,38.52,1004.93
37552,2897,70.42,26,1,0,1245400,0.02,23.1142464,72.4985733,59.0,10010,6.57,79.75,-2.19,2.19,79.75,-2.19,2.19,-0.38,0.44,0.19,36.0,-37.0,-3.75,-27.0,0.12,0.04,-0.27,-0.37,-0.38,9.79,-0.96,38.52,1004.93
37553,2897,70.42,26,1,0,1245400,0.02,23.1142464,72.4985733,59.0,10010,6.55,79.75,-2.19,2.19,79.75,-2.19,2.19,-0.19,-0.44,0.19,36.0,-37.75,-4.19,-26.19,0.09,0.09,-0.23,-0.37,-0.38,9.79,-1.0,38.53,1004.94
37554,2897,70.42,26,1,0,1245400,0.02,23.1142464,72.4985733,59.0,10010,6.55,79.75,-2.19,2.19,79.75,-2.19,2.19,0.06,-0.31,-0.12,36.0,-37.75,-4.19,-26.19,-0.02,0.07,-0.26,-0.37,-0.38,9.79,-1.01,38.53,1004.94
37555,2897,70.42,26,1,0,1245400,0.02,23.1142464,72.4985733,59.0,10010,6.57,79.75,-2.19,2.19,79.75,-2.19,2.19,0.38,0.0,-0.38,36.0,-36.56,-4.19,-27.38,-0.01,0.0,-0.15,-0.37,-0.38,9.79,-0.97,38.53,1004.94
37556,2897,70.42,26,1,0,1245400,0.02,23.1142464,72.4985733,59.0,10010,6.57,79.75,-2.19,2.19,79.75,-2.19,2.19,0.0,-0.12,-0.19,36.0,-36.25,-5.0,-26.56,-0.1,-0.05,-0.2,-0.37,-0.38,9.79,-0.88,38.54,1004.93
37557,2898,70.42,26,1,0,1245400,0.02,23.1142464,72.4985733,59.0,10010,6.5,79.75,-2.19,2.19,79.75,-2.19,2.19,0.06,0.12,-0.19,36.0,-35.88,-5.69,-27.0,0.01,-0.03,-0.24,-0.38,-0.38,9.79,-0.9,38.52,1004.93
37558,2898,70.42,26,1,0,1245400,0.02,23.1142464,72.4985733,59.0,10010,6.55,79.75,-2.19,2.19,79.75,-2.19,2.19,0.38,-0.06,0.0,36.0,-35.88,-3.75,-27.0,-0.01,-0.03,-0.2,-0.38,-0.38,9.79,-0.88,38.51,1004.93
37559,2898,70.42,26,1,0,1245400,0.02,23.1142464,72.4985733,59.0,10010,6.57,79.75,-2.19,2.19,79.75,-2.19,2.19,-0.25,0.0,0.0,36.0,-37.38,-3.75,-27.88,-0.01,0.03,-0.22,-0.38,-0.38,9.79,-0.87,38.5,1004.92
37560,2898,70.42,26,1,0,1245400,0.02,23.1142464,72.4985733,59.0,10010,6.52,79.75,-2.19,2.19,79.75,-2.19,2.19,0.12,0.12,-0.06,36.0,-36.25,-4.56,-26.19,-0.02,0.05,-0.24,-0.38,-0.38,9.79,-0.75,38.5,1004.91
37561,2898,70.42,26,1,0,1245400,0.02,23.1142464,72.4985733,59.0,10010,6.55,79.75,-2.19,2.19,79.75,-2.19,2.19,0.31,-0.12,0.12,36.0,-36.25,-4.56,-26.19,-0.02,0.04,-0.2,-0.38,-0.38,9.79,-0.81,38.51,1004.92
37562,2898,70.42,26,1,0,1245500,0.03,23.1142464,72.4985733,58.99,10010,6.53,79.75,-2.19,2.19,79.75,-2.19,2.19,0.06,0.06,0.12,36.0,-37.0,-4.19,-28.25,-0.05,0.0,-0.22,-0.38,-0.38,9.79,-0.83,38.51,1004.92
37563,2898,70.42,26,1,0,1245500,0.03,23.1142464,72.4985733,58.99,10010,6.53,79.75,-2.19,2.19,79.75,-2.19,2.19,-0.19,0.31,-0.12,36.0,-37.75,-3.5,-27.88,-0.01,0.0,-0.21,-0.38,-0.38,9.79,-0.86,38.52,1004.92
37564,2898,70.42,26,1,0,1245500,0.03,23.1142464,72.4985733,58.99,10010,6.53,79.75,-2.19,2.19,79.75,-2.19,2.19,-0.25,0.44,-0.19,36.0,-36.25,-3.75,-27.88,0.03,0.01,-0.27,-0.38,-0.38,9.79,-0.89,38.52,1004.93
37565,2898,70.42,26,1,0,1245500,0.03,23.1142464,72.4985733,58.99,10010,6.53,79.75,-2.19,2.19,79.75,-2.19,2.19,0.06,0.19,-0.19,36.0,-36.25,-3.75,-27.0,0.01,0.0,-0.2,-0.38,-0.38,9.79,-0.96,38.53,1004.94
37566,2898,70.42,26,1,0,1245500,0.03,23.1142464,72.4985733,58.99,10010,6.53,79.75,-2.19,2.19,79.75,-2.19,2.19,0.19,0.12,-0.25,36.0,-36.25,-3.75,-27.0,-0.04,-0.01,-0.22,-0.38,-0.38,9.79,-0.92,38.53,1004.93
37567,2898,70.42,26,1,0,1245500,0.03,23.1142464,72.4985733,58.99,10010,6.53,79.75,-2.19,2.19,79.75,-2.19,2.19,0.0,0.06,-0.25,36.0,-36.25,-4.19,-27.38,-0.02,-0.02,-0.14,-0.38,-0.38,9.79,-0.96,38.54,1004.93
37568,2898,70.42,26,1,0,1245500,0.03,23.1142464,72.4985733,58.99,10010,6.53,79.75,-2.19,2.19,79.75,-2.19,2.19,0.31,0.0,0.06,36.0,-36.56,-4.56,-26.56,-0.04,0.04,-0.26,-0.38,-0.38,9.79,-0.88,38.54,1004.93
37569,2898,70.42,26,1,0,1245500,0.03,23.1142464,72.4985733,58.99,10010,6.57,79.75,-2.19,2.19,79.75,-2.19,2.19,0.0,-0.12,0.19,36.0,-37.38,-3.75,-26.19,-0.02,0.01,-0.15,-0.38,-0.38,9.79,-0.91,38.54,1004.93
37570,2899,70.42,26,1,0,1245500,0.03,23.1142464,72.4985733,58.99,10010,6.57,79.75,-2.19,2.19,79.75,-2.19,2.19,-0.06,0.19,0.06,36.0,-37.0,-4.56,-27.0,0.0,0.02,-0.21,-0.38,-0.38,9.79,-0.99,38.52,1004.94
37571,2899,70.42,26,1,0,1245500,0.03,23.1142464,72.4985733,58.99,10010,6.57,79.75,-2.19,2.19,79.75,-2.19,2.19,-0.19,-0.06,0.19,36.0,-35.88,-3.75,-27.88,0.02,0.06,-0.25,-0.38,-0.38,9.79,-1.08,38.51,1004.95
37572,2899,70.42,26,1,0,1245500,0.03,23.1142464,72.4985733,58.99,10010,6.57,79.75,-2.19,2.19,79.75,-2.19,2.19,0.0,-0.12,0.0,36.0,-37.38,-3.75,-27.38,0.02,0.03,-0.22,-0.38,-0.38,9.79,-1.08,38.51,1004.95
37573,2899,70.42,26,1,0,1245500,0.03,23.1142464,72.4985733,58.99,10010,6.53,79.75,-2.19,2.19,79.75,-2.19,2.19,-0.12,-0.19,0.0,36.0,-37.38,-3.75,-27.38,-0.08,0.02,-0.21,-0.38,-0.38,9.79,-1.02,38.51,1004.94
37574,2899,70.42,26,1,0,1245500,0.03,23.1142464,72.4985733,58.99,10010,6.57,79.75,-2.19,2.19,79.75,-2.19,2.19,0.06,0.06,-0.12,36.0,-37.75,-3.06,-27.0,-0.04,0.0,-0.18,-0.38,-0.38,9.79,-1.0,38.52,1004.94
37575,2899,70.42,26,1,0,1245500,0.03,23.1142464,72.4985733,58.99,10010,6.57,79.75,-2.19,2.19,79.75,-2.19,2.19,-0.12,-0.12,0.0,36.0,-37.0,-4.56,-26.56,-0.01,0.0,-0.23,-0.38,-0.38,9.79,-0.94,38.52,1004.93
37576,2899,70.42,26,1,0,1245500,0.03,23.1142464,72.4985733,58.99,10010,6.57,79.75,-2.19,2.19,79.75,-2.19,2.19,-0.06,0.0,0.12,36.0,-35.56,-4.56,-27.0,-0.08,0.0,-0.19,-0.38,-0.38,9.79,-0.96,38.53,1004.94
37577,2899,70.42,26,1,0,1245600,0.02,23.1142464,72.4985733,58.96,10010,6.57,79.75,-2.19,2.19,79.75,-2.19,2.19,0.12,0.12,0.19,36.0,-35.56,-4.56,-27.0,0.0,0.0,-0.21,-0.38,-0.38,9.79,-0.94,38.53,1004.93
37578,2899,70.42,26,1,0,1245600,0.02,23.1142464,72.4985733,58.96,10010,6.53,79.75,-2.19,2.19,79.75,-2.19,2.19,0.06,0.06,0.12,36.0,-35.88,-4.56,-27.0,0.03,0.0,-0.19,-0.38,-0.38,9.79,-0.92,38.54,1004.93
37579,2899,70.42,26,1,0,1245600,0.02,23.1142464,72.4985733,58.96,10010,6.55,79.75,-2.19,2.19,79.75,-2.19,2.19,0.06,-0.19,0.06,36.0,-36.56,-4.56,-27.0,-0.01,0.04,-0.26,-0.38,-0.38,9.79,-0.94,38.54,1004.93
37580,2899,70.42,26,1,0,1245600,0.02,23.1142464,72.4985733,58.96,10010,6.57,79.75,-2.19,2.19,79.75,-2.19,2.19,-0.12,0.0,0.19,36.0,-35.88,-4.19,-27.38,-0.01,0.05,-0.21,-0.38,-0.38,9.79,-0.94,38.54,1004.93
37581,2899,70.42,26,1,0,1245600,0.02,23.1142464,72.4985733,58.96,10010,6.57,79.75,-2.19,2.19,79.75,-2.19,2.19,-0.06,0.0,-0.06,36.0,-37.38,-3.5,-25.75,-0.01,0.02,-0.27,-0.38,-0.38,9.79,-0.94,38.55,1004.93
37582,2899,70.42,26,1,0,1245600,0.02,23.1142464,72.4985733,58.96,10010,6.57,79.75,-2.19,2.19,79.75,-2.19,2.19,0.0,-0.12,0.06,36.0,-37.38,-3.5,-25.75,-0.03,0.01,-0.21,-0.38,-0.38,9.79,-0.88,38.55,1004.93
37583,2900,70.42,26,1,0,1245600,0.02,23.1142464,72.4985733,58.96,10010,6.57,79.75,-2.19,2.19,79.75,-2.19,2.19,-0.06,0.06,-0.12,36.0,-36.25,-5.0,-27.0,0.0,0.0,-0.18,-0.38,-0.38,9.79,-0.99,38.53,1004.94
37584,2900,70.42,26,1,0,1245600,0.02,23.1142464,72.4985733,58.96,10010,6.57,79.75,-2.19,2.19,79.75,-2.19,2.19,0.0,-0.06,0.0,36.0,-36.25,-5.0,-27.0,0.0,-0.01,-0.21,-0.38,-0.38,9.79,-1.1,38.52,1004.95
37585,2900,70.42,26,1,0,1245600,0.02,23.1142464,72.4985733,58.96,10010,6.57,79.75,-2.19,2.19,79.75,-2.19,2.19,-0.06,0.19,0.06,36.0,-36.25,-3.5,-27.0,-0.04,0.0,-0.19,-0.38,-0.38,9.79,-1.06,38.52,1004.95
37586,2900,70.42,26,1,0,1245600,0.02,23.1142464,72.4985733,58.96,10010,6.55,79.75,-2.19,2.19,79.75,-2.19,2.19,0.0,0.25,0.12,36.0,-37.0,-4.19,-26.56,-0.05,0.0,-0.27,-0.38,-0.38,9.79,-1.07,38.52,1004.95
37587,2900,70.42,26,1,0,1245600,0.02,23.1142464,72.4985733,58.96,10010,6.57,79.75,-2.19,2.19,79.75,-2.19,2.19,0.12,0.19,0.0,36.0,-36.56,-4.56,-27.75,-0.03,0.0,-0.19,-0.38,-0.38,9.79,-1.06,38.52,1004.95
37588,2900,70.42,26,1,0,1245600,0.02,23.1142464,72.4985733,58.96,10010,6.55,79.75,-2.19,2.19,79.75,-2.19,2.19,0.19,0.25,0.0,36.0,-36.56,-4.56,-27.75,-0.02,0.0,-0.22,-0.38,-0.38,9.79,-1.11,38.53,1004.95
37589,2900,70.42,26,1,0,1245600,0.02,23.1142464,72.4985733,58.96,10010,6.55,79.75,-2.19,2.19,79.75,-2.19,2.19,-0.06,-0.06,0.06,36.0,-36.25,-4.56,-27.0,-0.02,0.03,-0.26,-0.38,-0.38,9.79,-1.06,38.53,1004.95
37590,2900,70.42,26,1,0,1245600,0.02,23.1142464,72.4985733,58.96,10010,6.55,79.75,-2.19,2.19,79.75,-2.19,2.19,-0.12,0.12,0.0,36.0,-35.88,-4.56,-27.38,0.0,0.03,-0.21,-0.38,-0.38,9.79,-0.97,38.54,1004.94
37591,2900,70.42,26,1,0,1245600,0.02,23.1142464,72.4985733,58.96,10010,6.55,79.75,-2.19,2.19,79.75,-2.19,2.19,-0.12,0.12,0.0,36.0,-36.25,-4.56,-27.0,0.0,0.02,-0.26,-0.38,-0.38,9.79,-1.01,38.54,1004.94
37592,2900,70.42,26,1,0,1245700,0.02,23.1142464,72.4985733,58.94,10010,6.57,79.75,-2.19,2.19,79.75,-2.19,2.19,0.0,-0.06,-0.06,36.0,-35.88,-3.5,-27.0,-0.02,0.0,-0.2,-0.38,-0.38,9.79,-1.08,38.55,1004.95
37593,2900,70.42,26,1,0,1245700,0.02,23.1142464,72.4985733,58.94,10010,6.57,79.75,-2.19,2.19,79.75,-2.19,2.19,0.0,0.0,-0.12,36.0,-35.88,-3.5,-27.0,-0.05,0.0,-0.24,-0.38,-0.38,9.79,-1.1,38.55,1004.95
